type,Player,year,Age,Team,Lg,WAR,G,PA,AB,HR,RBI,SB,OPS,woba,xwoba,xslg,barrel_batted_rate,exit_velocity_avg,launch_angle_avg,k_percent,bb_percent,player_id,ERA,FIP,IP,GS,SV,whiff_percent,hard_hit_percent,swing_percent
pitcher,Sonny Gray,2024,34,STL,NL,1.8,28,,,,,,,0.292,0.3,0.401,8.9,,,30.3,5.8,543243,3.84,3.12,166.1,28,0,29.8,37.9,48.7
pitcher,Steven Matz*,2024,33,STL,NL,-0.2,12,,,,,,,0.352,0.333,0.429,7.9,,,17.4,7.9,571927,5.08,4.88,44.1,7,0,18.1,30.7,48.3
batter,Thomas Saggese,2024,22,STL,NL,-0.2,18,52,49,1,4,0,0.556,0.247,0.251,0.318,2.9,85.7,11.3,26.9,3.8,695336,,,,,,,,
batter,Tommy Pham,2024,36,STL,NL,-0.4,23,77,68,2,12,0,0.653,0.297,0.321,0.413,7.2,90.4,11,22.2,7.3,502054,,,,,,,,
batter,Victor Scott II*,2024,23,STL,NL,-0.5,53,155,145,2,10,5,0.502,,,,,,,,,,,,,,,,,
batter,Willson Contreras,2024,32,STL,NL,3,84,358,301,15,36,4,0.848,0.37,0.367,0.461,11.2,91.6,14.2,26.8,12.6,575929,,,,,,,,
pitcher,Zack Thompson*,2024,26,STL,NL,-0.7,5,,,,,,,0.432,0.34,0.446,13,,,24.1,9.6,668868,9.53,6.99,17,2,0,24,40.7,47.3
batter,Alec Burleson*,2025,26,STL,NL,1.8,139,546,497,18,69,5,0.801,0.346,0.345,0.471,9.5,91,15.2,14.5,7.1,676475,,,,,,,,
pitcher,Alec Burleson*,2025,26,STL,NL,0,1,,,,,,,,,,,,,,,,0,6.14,1,0,0,,,
pitcher,Andre Granillo,2025,25,STL,NL,0.1,14,,,,,,,0.344,0.307,0.385,9.2,,,19.8,7.7,701552,4.71,4.42,21,0,1,31.5,27.7,49.3
batter,Andre Pallante,2025,26,STL,NL,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Andre Pallante,2025,26,STL,NL,-1.2,31,,,,,,,0.334,0.321,0.402,6.5,,,15.5,8.7,669467,5.31,4.68,162.2,31,0,22.3,39.9,45.9
pitcher,Anthony Veneziano*,2025,27,STL,NL,0,2,,,,,,,0.359,0.357,0.476,11.4,,,21.4,9.4,685107,4.5,2.14,4,0,0,24.3,46.8,48.7
batter,Brendan Donovan*,2025,28,STL,NL,2.7,118,515,460,10,50,3,0.775,0.337,0.346,0.449,8.8,89.7,12.2,13,8.2,680977,,,,,,,,
batter,César Prieto*,2025,26,STL,NL,-0.2,3,6,6,0,0,0,0.333,,,,,,,,,,,,,,,,,
pitcher,Chris Roycroft,2025,28,STL,NL,-0.9,20,,,,,,,0.383,0.365,0.474,11,,,14.9,11.9,688297,7.84,4.83,20.2,0,0,21.4,46.6,47.5
pitcher,Erick Fedde,2025,32,STL,NL,-0.1,20,,,,,,,0.344,0.355,0.461,7.9,,,13.3,10.8,607200,5.22,5.13,101.2,20,0,18,42.6,44.7
batter,Garrett Hampson,2025,30,STL,NL,-0.3,35,31,29,0,1,1,0.271,0.205,0.217,0.194,2,84.3,22.5,31.9,12.1,641658,,,,,,,,
pitcher,Garrett Hampson,2025,30,STL,NL,0,1,,,,,,,,,,,,,,,,0,3.14,1,0,0,,,
pitcher,Gordon Graceffo,2025,25,STL,NL,-0.8,26,,,,,,,0.34,0.326,0.427,7.2,,,20.7,6.7,700669,6.28,2.93,43,0,1,23.1,53.6,48
batter,Iván Herrera,2025,25,STL,NL,2.2,107,452,388,19,66,8,0.837,0.365,0.371,0.491,11,91.2,10.1,18.6,9.5,671056,,,,,,,,
batter,Jimmy Crooks*,2025,23,STL,NL,-0.3,15,46,45,1,1,0,0.397,0.171,0.223,0.319,7.1,89.6,19.7,37,0,699625,,,,,,,,
pitcher,John King*,2025,30,STL,NL,-0.3,51,,,,,,,0.357,0.337,0.441,5,,,12.6,6.3,667463,4.66,5,48.1,0,0,19.9,43.3,50.1
pitcher,JoJo Romero*,2025,28,STL,NL,1.7,65,,,,,,,0.265,0.291,0.343,7.1,,,21.6,11.4,668941,2.07,3.28,61,0,8,27,35.1,41.5
batter,Jordan Walker,2025,23,STL,NL,-1.7,111,396,363,6,41,10,0.584,0.26,0.278,0.363,10.9,92.3,10.3,31.8,7.3,691023,,,,,,,,
pitcher,Jorge Alcala,2025,29,STL,NL,0,15,,,,,,,0.393,0.327,0.428,10.9,,,23.7,11.7,660896,5.02,6.14,14.1,0,0,25.7,37.6,47.4
batter,José Fermín,2025,26,STL,NL,0.8,30,70,60,1,9,2,0.793,0.352,0.332,0.367,0,87.1,16,14.3,11.4,665877,,,,,,,,
batter,Jose Barrero,2025,27,STL,NL,-0.1,22,31,29,1,3,0,0.469,,,,,,,,,,,,,,,,,
pitcher,Kyle Leahy,2025,28,STL,NL,1.5,62,,,,,,,0.281,0.326,0.417,9.8,,,22,7.7,681517,3.07,3.04,88,1,1,23.1,44.1,49.7
batter,Lars Nootbaar*,2025,27,STL,NL,1.3,135,583,509,13,48,4,0.686,0.304,0.317,0.4,10.2,91.3,16.5,20.4,11,663457,,,,,,,,
batter,Luken Baker,2025,28,STL,NL,-0.1,19,41,34,0,2,0,0.689,0.317,0.328,0.376,8.3,94.6,22.1,24.4,17.1,663609,,,,,,,,
batter,Masyn Winn,2025,23,STL,NL,2.2,129,537,491,9,51,9,0.673,0.297,0.286,0.347,4.8,88.3,16,19,6.3,691026,,,,,,,,
pitcher,Matt Svanson,2025,26,STL,NL,1.8,39,,,,,,,0.225,0.275,0.337,8.5,,,29.1,8.5,694335,1.94,2.72,60.1,0,0,23.1,35.9,44.1
pitcher,Matthew Liberatore*,2025,25,STL,NL,1,29,,,,,,,0.318,0.34,0.465,10.6,,,18.8,6.2,669461,4.21,4.03,151.2,29,0,20.2,41.1,48.2
pitcher,Michael McGreevy,2025,24,STL,NL,0.7,17,,,,,,,0.318,0.333,0.457,8.8,,,14.5,5,700241,4.42,4.27,95.2,16,0,19.2,40.1,45.9
batter,Michael Siani*,2025,25,STL,NL,-0.1,19,19,17,0,0,0,0.551,0.259,0.312,0.312,0,79.8,18,36.8,10.5,672279,,,,,,,,
pitcher,Miles Mikolas,2025,36,STL,NL,0.4,31,,,,,,,0.342,0.351,0.513,12.7,,,14.9,5.5,571945,4.84,5.03,156.1,31,0,16.5,41.8,48
batter,Nathan Church*,2025,24,STL,NL,0.4,27,65,56,1,8,1,0.504,0.232,0.247,0.279,2.4,89,5.4,27.7,4.6,701675,,,,,,,,
pitcher,Nick Raquet*,2025,29,STL,NL,0.1,2,,,,,,,0.099,0.208,0.165,0,,,14.3,14.3,675919,0,3.64,2,0,0,18.2,0,40.7
batter,Nolan Arenado,2025,34,STL,NL,1.3,107,436,401,12,52,3,0.666,0.287,0.289,0.366,3.9,86.8,19,11.2,6.4,571448,,,,,,,,
batter,Nolan Gorman*,2025,25,STL,NL,0.1,111,402,351,14,46,1,0.666,0.292,0.296,0.386,9.1,89.6,22.3,33.8,11.7,669357,,,,,,,,
batter,Pedro Pagés,2025,26,STL,NL,1.4,112,389,361,11,45,0,0.635,0.276,0.259,0.34,7.3,88,12.4,27.5,4.9,686780,,,,,,,,
batter,Phil Maton,2025,32,STL,NL,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Phil Maton,2025,32,STL,NL,1.1,40,,,,,,,0.266,0.264,0.282,3.6,,,32.5,9.6,664208,2.35,2.54,38.1,0,2,36.2,30.7,46.9
pitcher,Riley O'Brien,2025,30,STL,NL,1.6,42,,,,,,,0.27,0.298,0.306,3.2,,,22.6,11.1,676617,2.06,3.61,48,0,6,24.6,34.4,45.1
pitcher,Roddery Muñoz,2025,25,STL,NL,-0.2,9,,,,,,,0.39,0.418,0.557,14.3,,,27.5,17.6,682610,8.18,7.77,11,0,0,30.7,50,49.8
pitcher,Ryan Fernandez,2025,27,STL,NL,-1.1,32,,,,,,,0.382,0.313,0.405,11.2,,,24.3,11.4,681676,7.71,5.15,30.1,0,1,32.1,43.8,50
batter,Ryan Helsley,2025,30,STL,NL,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Ryan Helsley,2025,30,STL,NL,1.1,36,,,,,,,0.336,0.31,0.395,7.4,,,25,9.9,664854,3,3.55,36,0,21,29.5,41.7,53
batter,Ryan Vilade,2025,26,STL,NL,-0.1,7,15,13,0,0,0,0.277,0.151,0.295,0.334,12.5,96.6,-1.4,33.3,13.3,668723,,,,,,,,
pitcher,Sonny Gray,2025,35,STL,NL,1.4,32,,,,,,,0.314,0.306,0.417,9.8,,,26.7,5,543243,4.28,3.39,180.2,32,0,27.5,40.7,47.4
pitcher,Steven Matz*,2025,34,STL,NL,0.4,32,,,,,,,0.291,0.287,0.404,6.3,,,19.1,3.6,571927,3.44,2.92,55,2,1,18.8,40.5,48.6
batter,Thomas Saggese,2025,23,STL,NL,0.4,82,295,275,2,25,3,0.641,0.282,0.28,0.35,5.6,90.2,12.9,28.1,5.4,695336,,,,,,,,
batter,Victor Scott II*,2025,24,STL,NL,2.2,138,463,398,5,37,34,0.601,,,,,,,,,,,,,,,,,
batter,Willson Contreras,2025,33,STL,NL,2.5,135,563,490,20,80,5,0.791,0.344,0.358,0.488,13.9,90.6,12.3,25.2,7.8,575929,,,,,,,,
batter,Yohel Pozo,2025,28,STL,NL,0.2,67,168,160,5,19,0,0.637,0.275,0.276,0.357,2.2,87.7,17.8,13.1,4.2,650968,,,,,,,,
